	data	DCR
2019-12-04 06:30:00	[['003550', 66693.0, 68677.0, 66315.0, 68205.0, 271419.0, 0, 2500000.0, 2500000.0], ['066570', 69600.0, 70100.0, 69400.0, 70000.0, 294889.0, 0, 2500000.0, 2500000.0], ['005930', 49600.0, 49850.0, 49000.0, 49450.0, 13246549.0, 0, 2500000.0, 2500000.0], ['035720', 31310.0, 31310.0, 31009.0, 31311.0, 233141.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-05 06:30:00	[['003550', 67921.0, 68393.0, 66315.0, 66882.0, 180775.0, 0, 2500000.0, 2500000.0], ['066570', 70200.0, 70600.0, 69300.0, 70000.0, 295956.0, 0, 2500000.0, 2500000.0], ['005930', 50200.0, 50400.0, 49500.0, 49500.0, 10449715.0, 0, 2500000.0, 2500000.0], ['035720', 31211.0, 31311.0, 29806.0, 30007.0, 841460.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-06 06:30:00	[['003550', 67071.0, 68677.0, 66976.0, 68488.0, 167689.0, 0, 2500000.0, 2500000.0], ['066570', 69700.0, 70200.0, 69500.0, 70200.0, 272392.0, 0, 2500000.0, 2500000.0], ['005930', 50100.0, 50900.0, 49950.0, 50400.0, 11414563.0, 0, 2500000.0, 2500000.0], ['035720', 29906.0, 30910.0, 29906.0, 30810.0, 415390.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-09 06:30:00	[['003550', 68488.0, 68960.0, 68015.0, 68583.0, 195158.0, 0, 2500000.0, 2500000.0], ['066570', 70400.0, 70500.0, 68700.0, 69100.0, 436982.0, 0, 2500000.0, 2500000.0], ['005930', 50900.0, 51400.0, 50700.0, 51200.0, 8470627.0, 0, 2500000.0, 2500000.0], ['035720', 30908.0, 31008.0, 30307.0, 30408.0, 267330.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-10 06:30:00	[['003550', 68582.0, 70377.0, 67826.0, 69905.0, 310169.0, 0, 2500000.0, 2500000.0], ['066570', 69300.0, 71200.0, 69200.0, 71200.0, 575566.0, 0, 2500000.0, 2500000.0], ['005930', 51000.0, 51600.0, 50700.0, 51500.0, 6882771.0, 0, 2500000.0, 2500000.0], ['035720', 30107.0, 30408.0, 29505.0, 30007.0, 516074.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-11 06:30:00	[['003550', 70377.0, 71794.0, 69527.0, 70661.0, 387337.0, 0, 2500000.0, 2500000.0], ['066570', 71400.0, 71500.0, 70400.0, 71200.0, 339949.0, 0, 2500000.0, 2500000.0], ['005930', 51500.0, 52200.0, 51400.0, 51900.0, 11379521.0, 0, 2500000.0, 2500000.0], ['035720', 30205.0, 30205.0, 29604.0, 30107.0, 480071.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-12 06:30:00	[['003550', 70849.0, 71888.0, 70566.0, 71228.0, 497283.0, 0, 2500000.0, 2500000.0], ['066570', 71200.0, 72100.0, 71000.0, 71700.0, 979009.0, 0, 2500000.0, 2500000.0], ['005930', 53000.0, 53300.0, 52700.0, 53300.0, 29178697.0, 0, 2500000.0, 2500000.0], ['035720', 30308.0, 30408.0, 29905.0, 30007.0, 710378.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-13 06:30:00	[['003550', 72266.0, 72266.0, 70471.0, 70944.0, 216212.0, 0, 2500000.0, 2500000.0], ['066570', 72500.0, 72800.0, 72100.0, 72200.0, 405472.0, 0, 2500000.0, 2500000.0], ['005930', 54500.0, 54800.0, 53900.0, 54700.0, 18120261.0, 0, 2500000.0, 2500000.0], ['035720', 30207.0, 30308.0, 29806.0, 30308.0, 456822.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-16 06:30:00	[['003550', 71416.0, 71511.0, 70283.0, 70566.0, 184507.0, 0, 2500000.0, 2500000.0], ['066570', 72200.0, 72400.0, 71700.0, 72000.0, 271523.0, 0, 2500000.0, 2500000.0], ['005930', 54500.0, 54900.0, 54300.0, 54700.0, 11512405.0, 0, 2500000.0, 2500000.0], ['035720', 30307.0, 30506.0, 30106.0, 30408.0, 297095.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-17 06:30:00	[['003550', 69999.0, 71133.0, 69810.0, 70661.0, 271533.0, 0, 2500000.0, 2500000.0], ['066570', 72200.0, 73100.0, 72100.0, 72400.0, 455261.0, 0, 2500000.0, 2500000.0], ['005930', 55800.0, 56700.0, 55400.0, 56700.0, 19358433.0, 0, 2500000.0, 2500000.0], ['035720', 30406.0, 30506.0, 30006.0, 30207.0, 275832.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-18 06:30:00	[['003550', 70471.0, 71133.0, 69905.0, 70377.0, 181839.0, 0, 2500000.0, 2500000.0], ['066570', 72400.0, 72900.0, 71700.0, 72500.0, 399504.0, 0, 2500000.0, 2500000.0], ['005930', 56700.0, 57200.0, 56000.0, 56300.0, 15558208.0, 0, 2500000.0, 2500000.0], ['035720', 30207.0, 30508.0, 30007.0, 30308.0, 252752.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-19 06:30:00	[['003550', 69810.0, 71038.0, 69810.0, 70566.0, 148611.0, 0, 2500000.0, 2500000.0], ['066570', 72200.0, 72600.0, 71800.0, 72500.0, 302037.0, 0, 2500000.0, 2500000.0], ['005930', 57000.0, 57300.0, 55500.0, 56000.0, 14180520.0, 0, 2500000.0, 2500000.0], ['035720', 30205.0, 30306.0, 29905.0, 30107.0, 175849.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-20 06:30:00	[['003550', 71322.0, 71322.0, 69999.0, 70283.0, 190568.0, 0, 2500000.0, 2500000.0], ['066570', 72700.0, 72700.0, 71600.0, 72500.0, 403031.0, 0, 2500000.0, 2500000.0], ['005930', 56100.0, 56500.0, 55600.0, 56000.0, 12095519.0, 0, 2500000.0, 2500000.0], ['035720', 30106.0, 30707.0, 30006.0, 30107.0, 545445.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-23 06:30:00	[['003550', 70377.0, 71038.0, 70094.0, 70661.0, 137663.0, 0, 2500000.0, 2500000.0], ['066570', 72600.0, 72600.0, 71900.0, 72500.0, 257344.0, 0, 2500000.0, 2500000.0], ['005930', 56100.0, 56400.0, 55100.0, 55500.0, 9839252.0, 0, 2500000.0, 2500000.0], ['035720', 30308.0, 30308.0, 29706.0, 29806.0, 283403.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-24 06:30:00	[['003550', 70377.0, 71038.0, 70188.0, 70755.0, 155841.0, 0, 2500000.0, 2500000.0], ['066570', 72500.0, 72700.0, 71900.0, 71900.0, 220741.0, 0, 2500000.0, 2500000.0], ['005930', 55600.0, 55700.0, 54800.0, 55000.0, 11868463.0, 0, 2500000.0, 2500000.0], ['035720', 29706.0, 30107.0, 29003.0, 29405.0, 367817.0, 0, 2500000.0, 2500000.0]]	0.0
2019-12-26 06:30:00	[['003550', 71133.0, 71133.0, 70188.0, 70755.0, 127191.0, 0, 2500000.0, 2500000.0], ['066570', 72000.0, 72200.0, 71200.0, 71300.0, 372424.0, 0, 2500000.0, 2500000.0], ['005930', 54700.0, 55400.0, 54400.0, 55400.0, 9645034.0, 0, 2500000.0, 2500000.0], ['035720', 29304.0, 29706.0, 29304.0, 29706.0, 320921.0, 0, 2500000.0, 2500000.0]]	0.0
